ACCIONA,139.000,1.02,1.40,19.11,140.100,137.000,43320,7625,17:15
ACERINOX,11.655,-0.64,-0.07,29.01,11.765,11.630,400481,3153,17:14
ACS,25.920,-0.08,-0.02,-2.95,26.080,25.660,278125,8052,17:14
AENA,142.450,-0.04,-0.05,0.18,144.200,141.850,89581,21368,17:15
ALMIRALL,14.000,-1.06,-0.15,30.00,14.070,13.780,305498,2494,17:15
AMADEUS IT GROUP,59.700,-0.03,-0.02,0.24,60.020,58.840,473875,26895,17:15
ARCELORMITTAL,25.425,0.39,0.10,33.46,25.755,25.180,367835,28039,17:15
BANCO SABADELL,0.650,2.07,0.01,83.73,0.657,0.633,24468336,3660,17:15
BANKINTER,4.766,1.10,0.05,39.55,4.778,4.697,1744235,4284,17:15
BBVA,5.118,2.30,0.12,28.55,5.140,5.009,12601240,34126,17:15
CAIXABANK,2.824,1.88,0.05,35.67,2.835,2.763,9339123,22763,17:15
CELLNEX TELECOM,48.020,0.78,0.37,5.54,48.520,47.580,618526,32621,17:15
CIE AUTOMOTIVE,24.380,0.49,0.12,11.75,24.500,24.200,121378,2988,17:15
COLONIAL,8.640,0.23,0.02,7.66,8.725,8.500,341890,4390,17:15
ENAGAS,19.085,-0.03,-0.01,6.23,19.160,19.030,301382,5000,17:15
ENDESA,23.140,-0.26,-0.06,3.53,23.420,23.130,393437,24500,17:15
FERROVIAL,24.190,0.71,0.17,7.91,24.350,23.960,534454,18079,17:14
FLUIDRA,31.700,-1.86,-0.60,51.31,32.450,31.700,264720,6201,17:13
GRIFOLS,23.200,-0.77,-0.18,-2.85,23.550,23.160,431759,9886,17:15
IAG,2.272,1.70,0.04,26.86,2.285,2.212,10813894,11295,17:15
IBERDROLA,11.530,0.52,0.06,-0.08,11.570,11.460,5634105,74001,17:15
INDITEX,32.290,1.13,0.36,25.48,32.360,31.800,1574921,100637,17:15
INDRA,7.500,-8.20,-0.67,7.45,8.190,7.410,2028160,1325,17:15
MAPFRE,1.857,-0.08,-0.00,21.36,1.863,1.832,2488205,5719,17:14
MELIÁ HOTELS,6.690,0.33,0.02,16.96,6.736,6.618,544747,1474,17:15
MERLIN PROP,8.856,-0.32,-0.03,17.71,8.914,8.782,548940,4160,17:14
NATURGY,21.590,0.14,0.03,17.33,21.650,21.500,618337,20934,17:12
PHARMA MAR,80.820,-4.24,-3.58,14.57,83.840,80.720,109972,1483,17:14
RED ELÉCTRICA,16.240,-0.40,-0.07,-1.63,16.345,16.185,420744,8787,17:15
REPSOL,10.938,0.89,0.10,32.58,11.050,10.666,3317414,16707,17:15
SANTANDER,3.370,1.57,0.05,33.93,3.381,3.299,34399664,58438,17:15
SIEMENS GAMESA,26.480,-0.08,-0.02,-19.98,26.840,26.400,362194,18037,17:13
SOLARIA,16.375,-0.43,-0.07,-30.73,16.635,16.265,543151,2046,17:15
TELEFÓNICA,4.187,1.15,0.05,29.01,4.201,4.132,9853116,22789,17:14
VISCOFAN,58.750,0.69,0.40,1.21,58.900,58.100,41154,2732,17:14
