ACERINOX,11.765,11.83,11.705,09:14,2021/05/31,09_30
ACS,25.56,25.6,25.39,09:15,2021/05/31,09_30
AENA,143.05,143.1,142.75,09:14,2021/05/31,09_30
ALMIRALL,13.98,14.04,13.97,09:15,2021/05/31,09_30
AMADEUS IT GROUP,62.0,62.06,61.82,09:14,2021/05/31,09_30
ARCELORMITTAL,26.67,26.74,26.51,09:15,2021/05/31,09_30
BANCO SABADELL,0.633,0.638,0.631,09:13,2021/05/31,09_30
BANKINTER,4.694,4.7,4.662,09:15,2021/05/31,09_30
BBVA,5.137,5.16,5.131,09:14,2021/05/31,09_30
CAIXABANK,2.826,2.849,2.826,09:15,2021/05/31,09_30
CELLNEX TELECOM,49.92,49.97,49.85,09:15,2021/05/31,09_30
CIE AUTOMOTIVE,24.64,24.92,24.64,09:15,2021/05/31,09_30
COLONIAL,9.13,9.175,9.12,09:12,2021/05/31,09_30
ENAGAS,19.265,19.32,19.25,09:12,2021/05/31,09_30
ENDESA,22.66,23.2,22.61,09:15,2021/05/31,09_30
FERROVIAL,24.08,24.08,23.94,09:12,2021/05/31,09_30
FLUIDRA,32.95,33.1,32.7,09:15,2021/05/31,09_30
GRIFOLS,22.9,22.93,22.87,09:10,2021/05/31,09_30
IAG,2.358,2.376,2.352,09:15,2021/05/31,09_30
IBERDROLA,11.11,11.215,11.06,09:15,2021/05/31,09_30
INDITEX,31.96,31.97,31.79,09:14,2021/05/31,09_30
INDRA,7.14,7.205,7.14,09:15,2021/05/31,09_30
MAPFRE,1.875,1.895,1.875,09:15,2021/05/31,09_30
MELI� HOTELS,6.898,6.906,6.876,09:13,2021/05/31,09_30
MERLIN PROP,9.47,9.55,9.462,09:14,2021/05/31,09_30
NATURGY,21.46,21.52,21.45,09:12,2021/05/31,09_30
PHARMA MAR,76.52,76.68,76.18,09:15,2021/05/31,09_30
RED EL�CTRICA,16.37,16.43,16.355,09:15,2021/05/31,09_30
REPSOL,10.914,10.988,10.914,09:14,2021/05/31,09_30
SANTANDER,3.437,3.46,3.433,09:15,2021/05/31,09_30
SIEMENS GAMESA,27.19,27.21,27.01,09:14,2021/05/31,09_30
SOLARIA,15.945,15.945,15.35,09:15,2021/05/31,09_30
TELEF�NICA,4.063,4.07,4.052,09:15,2021/05/31,09_30
VISCOFAN,58.0,58.25,57.75,09:12,2021/05/31,09_30
ACERINOX,11.78,11.835,11.705,10:14,2021/05/31,10_30
ACS,25.8,25.84,25.39,10:14,2021/05/31,10_30
AENA,143.5,143.85,142.75,10:13,2021/05/31,10_30
ALMIRALL,13.93,14.04,13.93,10:10,2021/05/31,10_30
AMADEUS IT GROUP,62.06,62.36,61.82,10:14,2021/05/31,10_30
ARCELORMITTAL,26.78,26.805,26.51,10:15,2021/05/31,10_30
BANCO SABADELL,0.635,0.638,0.631,10:14,2021/05/31,10_30
BANKINTER,4.697,4.707,4.662,10:14,2021/05/31,10_30
BBVA,5.165,5.168,5.131,10:13,2021/05/31,10_30
CAIXABANK,2.832,2.849,2.82,10:15,2021/05/31,10_30
CELLNEX TELECOM,49.45,49.97,49.44,10:15,2021/05/31,10_30
CIE AUTOMOTIVE,24.74,24.92,24.6,10:05,2021/05/31,10_30
COLONIAL,9.095,9.175,9.08,10:15,2021/05/31,10_30
ENAGAS,19.38,19.385,19.25,10:14,2021/05/31,10_30
ENDESA,22.49,23.2,22.44,10:15,2021/05/31,10_30
FERROVIAL,24.21,24.27,23.94,10:13,2021/05/31,10_30
FLUIDRA,33.25,33.25,32.7,10:14,2021/05/31,10_30
GRIFOLS,22.94,22.96,22.87,10:14,2021/05/31,10_30
IAG,2.374,2.377,2.352,10:15,2021/05/31,10_30
IBERDROLA,11.075,11.215,11.05,10:14,2021/05/31,10_30
INDITEX,31.85,31.97,31.79,10:13,2021/05/31,10_30
INDRA,7.135,7.205,7.115,10:15,2021/05/31,10_30
MAPFRE,1.877,1.895,1.872,10:11,2021/05/31,10_30
MELI� HOTELS,6.964,6.968,6.876,10:14,2021/05/31,10_30
MERLIN PROP,9.474,9.55,9.454,10:14,2021/05/31,10_30
NATURGY,21.5,21.52,21.45,10:14,2021/05/31,10_30
PHARMA MAR,76.54,77.12,76.18,10:13,2021/05/31,10_30
RED EL�CTRICA,16.435,16.455,16.355,10:15,2021/05/31,10_30
REPSOL,10.964,10.988,10.906,10:15,2021/05/31,10_30
SANTANDER,3.451,3.46,3.432,10:15,2021/05/31,10_30
SIEMENS GAMESA,27.02,27.27,26.98,10:14,2021/05/31,10_30
SOLARIA,15.965,16.16,15.35,10:14,2021/05/31,10_30
TELEF�NICA,4.056,4.084,4.052,10:15,2021/05/31,10_30
VISCOFAN,58.0,58.25,57.75,10:07,2021/05/31,10_30
ACERINOX,11.735,11.835,11.705,11:13,2021/05/31,11_30
ACS,25.8,25.84,25.39,11:15,2021/05/31,11_30
AENA,143.6,144.25,142.75,11:15,2021/05/31,11_30
ALMIRALL,13.94,14.04,13.93,11:00,2021/05/31,11_30
AMADEUS IT GROUP,61.96,62.36,61.82,11:14,2021/05/31,11_30
ARCELORMITTAL,26.8,26.83,26.51,11:15,2021/05/31,11_30
BANCO SABADELL,0.624,0.638,0.623,11:15,2021/05/31,11_30
BANKINTER,4.698,4.707,4.662,11:15,2021/05/31,11_30
BBVA,5.161,5.169,5.131,11:15,2021/05/31,11_30
CAIXABANK,2.822,2.849,2.814,11:13,2021/05/31,11_30
CELLNEX TELECOM,49.48,49.97,49.37,11:15,2021/05/31,11_30
CIE AUTOMOTIVE,24.66,24.92,24.6,11:05,2021/05/31,11_30
COLONIAL,9.1,9.175,9.08,11:11,2021/05/31,11_30
ENAGAS,19.35,19.385,19.25,11:13,2021/05/31,11_30
ENDESA,22.64,23.2,22.38,11:15,2021/05/31,11_30
FERROVIAL,24.26,24.28,23.94,11:14,2021/05/31,11_30
FLUIDRA,33.5,33.5,32.7,11:13,2021/05/31,11_30
GRIFOLS,22.98,23.0,22.87,11:15,2021/05/31,11_30
IAG,2.377,2.38,2.352,11:15,2021/05/31,11_30
IBERDROLA,11.115,11.215,11.05,11:15,2021/05/31,11_30
INDITEX,31.8,31.97,31.79,11:14,2021/05/31,11_30
INDRA,7.16,7.205,7.105,11:15,2021/05/31,11_30
MAPFRE,1.875,1.895,1.872,11:14,2021/05/31,11_30
MELI� HOTELS,6.968,6.978,6.876,11:15,2021/05/31,11_30
MERLIN PROP,9.504,9.55,9.454,11:15,2021/05/31,11_30
NATURGY,21.49,21.52,21.45,11:14,2021/05/31,11_30
PHARMA MAR,77.28,77.34,76.18,11:12,2021/05/31,11_30
RED EL�CTRICA,16.48,16.485,16.355,11:12,2021/05/31,11_30
REPSOL,10.946,10.988,10.906,11:14,2021/05/31,11_30
SANTANDER,3.441,3.46,3.431,11:15,2021/05/31,11_30
SIEMENS GAMESA,27.03,27.27,26.92,11:14,2021/05/31,11_30
SOLARIA,15.97,16.16,15.35,11:15,2021/05/31,11_30
TELEF�NICA,4.075,4.084,4.04,11:15,2021/05/31,11_30
VISCOFAN,58.0,58.25,57.75,11:09,2021/05/31,11_30
ACERINOX,11.75,11.835,11.705,12:14,2021/05/31,12_30
ACS,25.66,25.86,25.39,12:15,2021/05/31,12_30
AENA,143.65,144.25,142.75,12:15,2021/05/31,12_30
ALMIRALL,13.94,14.04,13.92,12:09,2021/05/31,12_30
AMADEUS IT GROUP,61.92,62.36,61.8,12:14,2021/05/31,12_30
ARCELORMITTAL,26.93,26.955,26.51,12:15,2021/05/31,12_30
BANCO SABADELL,0.631,0.638,0.623,12:14,2021/05/31,12_30
BANKINTER,4.716,4.719,4.662,12:14,2021/05/31,12_30
BBVA,5.163,5.172,5.131,12:14,2021/05/31,12_30
CAIXABANK,2.823,2.849,2.814,12:13,2021/05/31,12_30
CELLNEX TELECOM,49.25,49.97,49.23,12:14,2021/05/31,12_30
CIE AUTOMOTIVE,24.66,24.92,24.6,12:06,2021/05/31,12_30
COLONIAL,9.115,9.175,9.08,12:15,2021/05/31,12_30
ENAGAS,19.31,19.385,19.25,12:13,2021/05/31,12_30
ENDESA,22.63,23.2,22.38,12:15,2021/05/31,12_30
FERROVIAL,24.2,24.28,23.94,12:15,2021/05/31,12_30
FLUIDRA,33.45,33.5,32.7,12:14,2021/05/31,12_30
GRIFOLS,23.0,23.08,22.87,12:13,2021/05/31,12_30
IAG,2.37,2.38,2.352,12:15,2021/05/31,12_30
IBERDROLA,11.135,11.215,11.05,12:15,2021/05/31,12_30
INDITEX,31.83,31.97,31.65,12:15,2021/05/31,12_30
INDRA,7.135,7.205,7.105,12:06,2021/05/31,12_30
MAPFRE,1.873,1.895,1.872,12:15,2021/05/31,12_30
MELI� HOTELS,6.868,6.978,6.86,12:15,2021/05/31,12_30
MERLIN PROP,9.508,9.55,9.454,12:14,2021/05/31,12_30
NATURGY,21.52,21.52,21.45,12:13,2021/05/31,12_30
PHARMA MAR,76.84,77.48,76.18,12:14,2021/05/31,12_30
RED EL�CTRICA,16.52,16.56,16.355,12:15,2021/05/31,12_30
REPSOL,10.952,10.988,10.906,12:15,2021/05/31,12_30
SANTANDER,3.446,3.46,3.431,12:15,2021/05/31,12_30
SIEMENS GAMESA,27.03,27.27,26.92,12:15,2021/05/31,12_30
SOLARIA,15.91,16.16,15.35,12:15,2021/05/31,12_30
TELEF�NICA,4.069,4.084,4.04,12:15,2021/05/31,12_30
VISCOFAN,58.0,58.25,57.75,12:15,2021/05/31,12_30
ACERINOX,11.745,11.835,11.705,13:15,2021/05/31,13_30
ACS,25.58,25.86,25.39,13:15,2021/05/31,13_30
AENA,143.85,144.25,142.75,13:15,2021/05/31,13_30
ALMIRALL,13.94,14.04,13.87,13:12,2021/05/31,13_30
AMADEUS IT GROUP,61.84,62.36,61.74,13:14,2021/05/31,13_30
ARCELORMITTAL,26.92,26.99,26.51,13:14,2021/05/31,13_30
BANCO SABADELL,0.629,0.638,0.623,13:14,2021/05/31,13_30
BANKINTER,4.718,4.727,4.662,13:15,2021/05/31,13_30
BBVA,5.154,5.172,5.131,13:14,2021/05/31,13_30
CAIXABANK,2.827,2.849,2.814,13:15,2021/05/31,13_30
CELLNEX TELECOM,49.23,49.97,49.22,13:12,2021/05/31,13_30
CIE AUTOMOTIVE,24.62,24.92,24.6,13:15,2021/05/31,13_30
COLONIAL,9.105,9.175,9.08,13:04,2021/05/31,13_30
ENAGAS,19.305,19.385,19.25,13:14,2021/05/31,13_30
ENDESA,22.69,23.2,22.38,13:14,2021/05/31,13_30
FERROVIAL,24.11,24.28,23.94,13:14,2021/05/31,13_30
FLUIDRA,33.45,33.5,32.7,12:50,2021/05/31,13_30
GRIFOLS,22.9,23.08,22.87,13:14,2021/05/31,13_30
IAG,2.374,2.38,2.352,13:15,2021/05/31,13_30
IBERDROLA,11.12,11.215,11.05,13:14,2021/05/31,13_30
INDITEX,31.76,31.97,31.65,13:15,2021/05/31,13_30
INDRA,7.115,7.205,7.105,13:14,2021/05/31,13_30
MAPFRE,1.867,1.895,1.866,13:15,2021/05/31,13_30
MELI� HOTELS,6.866,6.978,6.86,13:14,2021/05/31,13_30
MERLIN PROP,9.49,9.55,9.454,13:14,2021/05/31,13_30
NATURGY,21.48,21.52,21.45,13:15,2021/05/31,13_30
PHARMA MAR,76.32,77.48,76.18,13:15,2021/05/31,13_30
RED EL�CTRICA,16.5,16.56,16.355,13:15,2021/05/31,13_30
REPSOL,10.968,10.988,10.906,13:15,2021/05/31,13_30
SANTANDER,3.449,3.46,3.431,13:15,2021/05/31,13_30
SIEMENS GAMESA,27.12,27.27,26.92,13:14,2021/05/31,13_30
SOLARIA,15.92,16.16,15.35,13:15,2021/05/31,13_30
TELEF�NICA,4.067,4.084,4.04,13:15,2021/05/31,13_30
VISCOFAN,57.95,58.25,57.75,13:08,2021/05/31,13_30
ACERINOX,11.75,11.835,11.705,14:14,2021/05/31,14_30
ACS,25.58,25.86,25.39,14:15,2021/05/31,14_30
AENA,144.2,144.6,142.75,14:15,2021/05/31,14_30
ALMIRALL,13.99,14.04,13.87,14:15,2021/05/31,14_30
AMADEUS IT GROUP,62.02,62.36,61.74,14:15,2021/05/31,14_30
ARCELORMITTAL,26.925,26.99,26.51,14:15,2021/05/31,14_30
BANCO SABADELL,0.629,0.638,0.623,14:15,2021/05/31,14_30
BANKINTER,4.711,4.727,4.662,14:15,2021/05/31,14_30
BBVA,5.149,5.172,5.131,14:15,2021/05/31,14_30
CAIXABANK,2.83,2.849,2.814,14:15,2021/05/31,14_30
CELLNEX TELECOM,49.17,49.97,49.15,14:15,2021/05/31,14_30
CIE AUTOMOTIVE,24.72,24.92,24.6,13:45,2021/05/31,14_30
COLONIAL,9.13,9.175,9.08,14:11,2021/05/31,14_30
ENAGAS,19.345,19.385,19.25,14:15,2021/05/31,14_30
ENDESA,22.65,23.2,22.38,14:15,2021/05/31,14_30
FERROVIAL,24.13,24.28,23.94,14:15,2021/05/31,14_30
FLUIDRA,33.2,33.5,32.7,14:15,2021/05/31,14_30
GRIFOLS,22.96,23.08,22.87,14:15,2021/05/31,14_30
