ACCIONA,136.400,0.81,1.10,16.88,138.000,135.500,67915,7482,18:01
ACERINOX,11.875,-0.63,-0.07,31.45,12.185,11.825,697242,3213,18:01
ACS,26.400,-0.75,-0.20,-1.15,26.720,26.320,465307,8202,18:01
AENA,143.850,-0.03,-0.05,1.16,145.950,143.000,130676,21578,18:01
ALMIRALL,14.220,-0.70,-0.10,32.04,14.390,14.060,266592,2533,18:01
AMADEUS IT GROUP,59.780,-0.60,-0.36,0.37,61.620,59.640,685980,26931,18:01
ARCELORMITTAL,26.770,-0.83,-0.23,40.52,27.710,26.655,726359,29522,18:01
BANCO SABADELL,0.639,-2.56,-0.02,80.56,0.675,0.636,41156648,3597,18:01
BANKINTER,4.755,-0.50,-0.02,39.23,4.835,4.750,1905305,4274,18:01
BBVA,5.125,2.34,0.12,28.72,5.129,5.044,15202325,34173,18:01
CAIXABANK,2.845,-0.14,-0.00,35.41,2.881,2.841,11209901,22933,18:01
CELLNEX TELECOM,46.000,0.09,0.04,1.10,46.410,45.450,893208,31249,18:01
CIE AUTOMOTIVE,24.660,-0.40,-0.10,13.03,24.940,24.400,163316,3022,18:01
COLONIAL,8.710,-1.58,-0.14,8.54,8.770,8.465,961837,4426,18:01
ENAGAS,19.115,0.42,0.08,6.40,19.185,19.035,570463,5008,18:01
ENDESA,23.140,0.00,0.00,3.53,23.390,23.050,1228989,24500,18:01
FERROVIAL,24.140,-1.87,-0.46,7.68,24.810,24.120,1013889,18041,18:01
FLUIDRA,32.150,-1.53,-0.50,53.46,32.900,31.850,461593,6289,18:01
GRIFOLS,23.540,-1.92,-0.46,-1.42,24.140,23.340,760975,10031,18:01
IAG,2.285,2.65,0.06,27.58,2.308,2.245,16206813,11360,18:01
IBERDROLA,11.310,-0.09,-0.01,-1.99,11.430,11.255,7672926,72589,18:01
INDITEX,32.540,0.71,0.23,26.45,32.650,31.940,2659411,101416,18:01
INDRA,8.190,0.00,0.00,17.34,8.300,8.115,489402,1447,18:01
MAPFRE,1.918,-0.47,-0.01,20.37,1.944,1.910,5445434,5905,18:01
MELIÁ HOTELS,6.850,2.09,0.14,19.76,6.872,6.736,798298,1510,18:01
MERLIN PROP,8.934,0.72,0.06,18.75,8.966,8.796,795201,4197,18:01
NATURGY,21.580,-1.05,-0.23,17.27,22.140,21.550,1060122,20924,18:01
PHARMA MAR,84.640,1.22,1.02,19.99,84.940,82.100,71440,1554,18:01
RED ELÉCTRICA,16.195,1.25,0.20,-1.90,16.230,16.075,995662,8763,18:01
REPSOL,11.178,-0.09,-0.01,35.49,11.400,11.130,5939745,17073,18:01
SANTANDER,3.371,1.19,0.04,33.95,3.397,3.337,36162888,58447,18:01
SIEMENS GAMESA,26.520,4.41,1.12,-19.85,26.680,25.580,1878369,18064,18:01
SOLARIA,15.930,2.18,0.34,-32.61,16.250,15.550,809605,1990,18:01
TELEFÓNICA,4.147,-0.08,-0.00,27.78,4.177,4.076,16433520,22572,18:01
VISCOFAN,58.200,0.61,0.35,0.26,58.400,57.850,50055,2706,18:01
