ACERINOX,11.765,11.78,11.67,09:14,2021/05/19,09_30
ACS,26.13,26.27,26.11,09:13,2021/05/19,09_30
AENA,143.4,143.45,142.1,09:13,2021/05/19,09_30
ALMIRALL,14.12,14.16,14.09,09:14,2021/05/19,09_30
AMADEUS IT GROUP,59.06,59.42,58.72,09:13,2021/05/19,09_30
ARCELORMITTAL,25.965,26.3,25.85,09:14,2021/05/19,09_30
BANCO SABADELL,0.629,0.634,0.58,09:13,2021/05/19,09_30
BANKINTER,4.739,4.751,4.709,09:14,2021/05/19,09_30
BBVA,5.056,5.074,5.036,09:14,2021/05/19,09_30
CAIXABANK,2.853,2.866,2.84,09:14,2021/05/19,09_30
CELLNEX TELECOM,45.95,46.04,45.58,09:14,2021/05/19,09_30
CIE AUTOMOTIVE,24.5,24.54,24.4,09:14,2021/05/19,09_30
COLONIAL,8.715,8.8,8.625,09:10,2021/05/19,09_30
ENAGAS,19.01,19.065,18.96,09:13,2021/05/19,09_30
ENDESA,23.04,23.05,22.94,09:14,2021/05/19,09_30
FERROVIAL,23.94,24.05,23.9,09:12,2021/05/19,09_30
FLUIDRA,31.85,31.95,31.7,09:10,2021/05/19,09_30
GRIFOLS,23.58,23.58,23.46,09:14,2021/05/19,09_30
IAG,2.263,2.265,2.233,09:13,2021/05/19,09_30
IBERDROLA,11.265,11.3,11.235,09:13,2021/05/19,09_30
INDITEX,32.3,32.31,32.13,09:14,2021/05/19,09_30
INDRA,8.12,8.17,8.095,09:11,2021/05/19,09_30
MAPFRE,1.908,1.916,1.881,09:13,2021/05/19,09_30
MELI� HOTELS,6.844,6.844,6.742,09:13,2021/05/19,09_30
MERLIN PROP,9.008,9.018,8.878,09:14,2021/05/19,09_30
NATURGY,21.49,21.6,21.47,09:13,2021/05/19,09_30
PHARMA MAR,84.04,84.14,83.34,09:13,2021/05/19,09_30
RED EL�CTRICA,16.165,16.175,16.105,09:13,2021/05/19,09_30
REPSOL,11.056,11.058,10.95,09:12,2021/05/19,09_30
SANTANDER,3.342,3.344,3.321,09:13,2021/05/19,09_30
SIEMENS GAMESA,26.09,26.44,25.95,09:14,2021/05/19,09_30
SOLARIA,15.755,15.87,15.56,09:13,2021/05/19,09_30
TELEF�NICA,4.149,4.149,4.11,09:13,2021/05/19,09_30
VISCOFAN,57.95,58.0,57.7,09:09,2021/05/19,09_30
ACERINOX,11.865,11.9,11.67,10:13,2021/05/19,10_30
ACS,26.14,26.27,26.01,10:13,2021/05/19,10_30
AENA,141.9,143.45,141.65,10:13,2021/05/19,10_30
ALMIRALL,14.14,14.16,14.03,10:12,2021/05/19,10_30
AMADEUS IT GROUP,58.48,59.42,58.26,10:13,2021/05/19,10_30
ARCELORMITTAL,26.155,26.3,25.85,10:11,2021/05/19,10_30
BANCO SABADELL,0.636,0.641,0.58,10:13,2021/05/19,10_30
BANKINTER,4.754,4.78,4.709,10:13,2021/05/19,10_30
BBVA,5.09,5.107,5.036,10:14,2021/05/19,10_30
CAIXABANK,2.871,2.88,2.84,10:13,2021/05/19,10_30
CELLNEX TELECOM,46.09,46.13,45.58,10:13,2021/05/19,10_30
CIE AUTOMOTIVE,24.46,24.6,24.4,10:13,2021/05/19,10_30
COLONIAL,8.74,8.8,8.625,10:14,2021/05/19,10_30
ENAGAS,19.04,19.115,18.96,10:13,2021/05/19,10_30
ENDESA,23.13,23.13,22.94,10:13,2021/05/19,10_30
FERROVIAL,23.96,24.05,23.87,10:13,2021/05/19,10_30
FLUIDRA,32.0,32.15,31.7,10:14,2021/05/19,10_30
GRIFOLS,23.52,23.64,23.45,10:13,2021/05/19,10_30
IAG,2.237,2.265,2.233,10:14,2021/05/19,10_30
IBERDROLA,11.335,11.335,11.235,10:14,2021/05/19,10_30
INDITEX,32.1,32.35,32.02,10:14,2021/05/19,10_30
INDRA,8.095,8.17,8.085,10:13,2021/05/19,10_30
MAPFRE,1.911,1.922,1.881,10:13,2021/05/19,10_30
MELI� HOTELS,6.76,6.844,6.742,10:12,2021/05/19,10_30
MERLIN PROP,8.954,9.024,8.878,10:13,2021/05/19,10_30
NATURGY,21.52,21.6,21.43,10:13,2021/05/19,10_30
PHARMA MAR,82.94,84.14,82.74,10:14,2021/05/19,10_30
RED EL�CTRICA,16.17,16.22,16.105,10:14,2021/05/19,10_30
