ACCIONA,139.000,140.100,137.000,21/05
ACERINOX,11.680,11.765,11.630,21/05
ACS,25.870,26.080,25.660,21/05
AENA,142.350,144.200,141.850,21/05
ALMIRALL,14.000,14.070,13.780,21/05
AMADEUS IT GROUP,59.920,60.020,58.840,21/05
ARCELORMITTAL,25.420,25.755,25.180,21/05
BANCO SABADELL,0.652,0.657,0.633,21/05
BANKINTER,4.779,4.779,4.697,21/05
BBVA,5.121,5.140,5.009,21/05
CAIXABANK,2.827,2.835,2.763,21/05
CELLNEX TELECOM,48.070,48.520,47.580,21/05
CIE AUTOMOTIVE,24.400,24.500,24.200,21/05
COLONIAL,8.655,8.725,8.500,21/05
ENAGAS,19.100,19.160,19.030,21/05
ENDESA,23.090,23.420,23.090,21/05
FERROVIAL,24.200,24.350,23.960,21/05
FLUIDRA,31.650,32.450,31.550,21/05
GRIFOLS,23.300,23.550,23.160,21/05
IAG,2.278,2.285,2.212,21/05
IBERDROLA,11.550,11.570,11.460,21/05
INDITEX,32.410,32.410,31.800,21/05
INDRA,7.520,8.190,7.410,21/05
MAPFRE,1.857,1.863,1.832,21/05
MELIÁ HOTELS,6.688,6.736,6.618,21/05
MERLIN PROP,8.898,8.914,8.782,21/05
NATURGY,21.580,21.650,21.500,21/05
PHARMA MAR,80.900,83.840,80.600,21/05
RED ELÉCTRICA,16.240,16.345,16.185,21/05
REPSOL,10.934,11.050,10.666,21/05
SANTANDER,3.369,3.381,3.299,21/05
SIEMENS GAMESA,26.300,26.840,26.300,21/05
SOLARIA,16.360,16.635,16.265,21/05
TELEFÓNICA,4.181,4.201,4.132,21/05
VISCOFAN,58.750,58.900,58.100,21/05
