ACCIONA,141.900,142.500,140.800,12:11
ACERINOX,11.640,11.700,11.605,12:14
ACS,25.490,25.580,25.120,12:14
AENA,142.950,143.750,141.500,12:14
ALMIRALL,13.800,13.880,13.760,12:04
AMADEUS IT GROUP,61.460,61.900,60.800,12:13
ARCELORMITTAL,25.725,25.735,25.340,12:14
BANCO SABADELL,0.673,0.673,0.647,12:14
BANKINTER,4.717,4.722,4.645,12:13
BBVA,5.158,5.179,5.073,12:14
CAIXABANK,2.821,2.830,2.775,12:14
CELLNEX TELECOM,49.220,49.850,49.050,12:14
CIE AUTOMOTIVE,24.180,24.360,24.100,12:04
COLONIAL,9.090,9.095,8.850,12:14
ENAGAS,19.355,19.415,19.190,12:13
ENDESA,23.590,23.680,23.430,12:14
FERROVIAL,24.160,24.210,24.050,12:07
FLUIDRA,32.800,33.100,32.700,12:14
GRIFOLS,23.220,23.540,23.200,12:13
IAG,2.357,2.391,2.340,12:14
IBERDROLA,11.325,11.400,11.280,12:13
INDITEX,31.560,32.030,31.550,12:14
INDRA,7.200,7.225,7.055,12:14
MAPFRE,1.839,1.841,1.823,12:11
MELIÁ HOTELS,7.054,7.144,6.900,12:12
MERLIN PROP,9.280,9.286,9.020,12:12
NATURGY,21.480,21.600,21.370,12:13
PHARMA MAR,77.040,79.640,76.320,12:14
RED ELÉCTRICA,16.380,16.440,16.280,12:13
REPSOL,11.086,11.116,10.986,12:14
SANTANDER,3.413,3.425,3.334,12:14
SIEMENS GAMESA,27.060,27.400,26.810,12:14
SOLARIA,16.410,16.720,16.380,12:10
TELEFÓNICA,4.110,4.180,4.063,12:14
VISCOFAN,58.100,58.200,57.850,12:12
