ACCIONA,136.800,138.000,135.500,16:15
ACERINOX,11.890,12.185,11.860,16:15
ACS,26.370,26.720,26.320,16:15
AENA,143.200,145.950,143.000,16:15
ALMIRALL,14.090,14.390,14.060,16:13
AMADEUS IT GROUP,59.800,61.620,59.640,16:15
ARCELORMITTAL,26.825,27.710,26.700,16:14
BANCO SABADELL,0.640,0.675,0.638,16:15
BANKINTER,4.761,4.835,4.758,16:15
BBVA,5.099,5.129,5.044,16:15
CAIXABANK,2.850,2.881,2.848,16:15
CELLNEX TELECOM,45.990,46.410,45.450,16:14
CIE AUTOMOTIVE,24.480,24.940,24.400,16:12
COLONIAL,8.595,8.770,8.465,16:15
ENAGAS,19.075,19.185,19.035,16:15
ENDESA,23.140,23.390,23.050,16:15
FERROVIAL,24.200,24.810,24.120,16:15
FLUIDRA,32.000,32.900,31.850,16:15
GRIFOLS,23.500,24.140,23.340,16:15
IAG,2.296,2.298,2.245,16:15
IBERDROLA,11.270,11.430,11.255,16:15
INDITEX,32.300,32.650,31.940,16:15
INDRA,8.200,8.300,8.115,16:15
MAPFRE,1.911,1.944,1.910,16:15
MELIÁ HOTELS,6.858,6.870,6.736,16:15
MERLIN PROP,8.876,8.922,8.796,16:15
NATURGY,21.670,22.140,21.670,16:15
PHARMA MAR,84.400,84.480,82.100,16:15
RED ELÉCTRICA,16.115,16.180,16.075,16:15
REPSOL,11.204,11.400,11.190,16:15
SANTANDER,3.346,3.397,3.337,16:15
SIEMENS GAMESA,26.290,26.630,25.580,16:15
SOLARIA,15.740,16.250,15.550,16:15
TELEFÓNICA,4.124,4.177,4.076,16:15
VISCOFAN,57.950,58.400,57.850,16:15
