CIE AUTOMOTIVE,24.46,24.78,24.34,13:08,2021/05/25,13_30
COLONIAL,8.695,8.92,8.69,13:12,2021/05/25,13_30
ENAGAS,19.14,19.16,18.93,13:14,2021/05/25,13_30
ENDESA,23.29,23.34,23.18,13:16,2021/05/25,13_30
FERROVIAL,24.35,24.52,24.29,13:11,2021/05/25,13_30
FLUIDRA,32.85,32.85,32.45,13:13,2021/05/25,13_30
GRIFOLS,23.34,23.49,23.17,13:14,2021/05/25,13_30
IAG,2.324,2.334,2.286,13:15,2021/05/25,13_30
IBERDROLA,11.485,11.5,11.425,13:16,2021/05/25,13_30
INDITEX,32.1,32.35,31.94,13:14,2021/05/25,13_30
INDRA,7.105,7.23,7.05,13:15,2021/05/25,13_30
MAPFRE,1.852,1.88,1.85,13:14,2021/05/25,13_30
MELI� HOTELS,6.99,7.04,6.828,13:14,2021/05/25,13_30
MERLIN PROP,8.99,9.132,8.972,13:14,2021/05/25,13_30
NATURGY,21.6,21.64,21.46,13:13,2021/05/25,13_30
PHARMA MAR,80.76,81.4,80.28,13:14,2021/05/25,13_30
RED EL�CTRICA,16.32,16.35,16.245,13:14,2021/05/25,13_30
REPSOL,11.004,11.088,10.938,13:15,2021/05/25,13_30
SANTANDER,3.397,3.397,3.351,13:16,2021/05/25,13_30
SIEMENS GAMESA,26.59,26.59,26.0,13:15,2021/05/25,13_30
SOLARIA,16.42,16.62,16.265,13:15,2021/05/25,13_30
TELEF�NICA,4.142,4.175,4.123,13:15,2021/05/25,13_30
VISCOFAN,58.85,59.25,58.75,13:09,2021/05/25,13_30
ACERINOX,11.715,11.83,11.69,14:13,2021/05/25,14_30
ACS,25.7,26.09,25.7,14:14,2021/05/25,14_30
AENA,142.95,144.15,142.65,14:13,2021/05/25,14_30
ALMIRALL,13.96,14.04,13.89,14:10,2021/05/25,14_30
AMADEUS IT GROUP,60.86,61.14,60.48,14:14,2021/05/25,14_30
ARCELORMITTAL,25.525,25.75,25.435,14:13,2021/05/25,14_30
