ACCIONA,135.800,137.600,134.600,16:50
ACERINOX,11.940,11.985,11.765,16:51
ACS,26.740,27.280,26.610,16:51
AENA,143.900,147.250,143.600,16:50
ALMIRALL,14.250,14.350,14.100,16:43
AMADEUS IT GROUP,60.380,62.180,60.080,16:50
ARCELORMITTAL,27.065,27.230,26.595,16:51
BANCO SABADELL,0.658,0.682,0.655,16:51
BANKINTER,4.790,4.818,4.735,16:51
BBVA,5.020,5.044,4.951,16:51
CAIXABANK,2.852,2.878,2.830,16:50
CELLNEX TELECOM,45.920,46.090,45.300,16:50
CIE AUTOMOTIVE,24.800,24.880,24.380,16:50
COLONIAL,8.840,9.080,8.810,16:49
ENAGAS,19.045,19.140,18.855,16:50
ENDESA,23.190,23.290,23.070,16:50
FERROVIAL,24.630,24.850,24.580,16:49
FLUIDRA,32.600,33.000,31.600,16:51
GRIFOLS,23.940,23.980,23.590,16:50
IAG,2.235,2.320,2.212,16:50
IBERDROLA,11.350,11.435,11.185,16:50
INDITEX,32.220,32.270,31.760,16:50
INDRA,8.190,8.295,8.125,16:50
MAPFRE,1.933,1.946,1.923,16:50
MELIÁ HOTELS,6.760,6.890,6.732,16:50
MERLIN PROP,8.876,9.092,8.856,16:51
NATURGY,21.840,22.000,21.730,16:51
PHARMA MAR,83.720,84.600,81.600,16:51
RED ELÉCTRICA,15.990,16.210,15.950,16:50
REPSOL,11.186,11.188,10.906,16:50
SANTANDER,3.339,3.373,3.302,16:50
SIEMENS GAMESA,25.560,26.320,25.400,16:51
SOLARIA,15.605,16.490,15.570,16:50
TELEFÓNICA,4.133,4.156,4.050,16:50
VISCOFAN,58.000,58.250,57.500,16:48
