ACCIONA,142.300,142.500,140.800,09:14
ACERINOX,11.635,11.700,11.630,09:14
ACS,25.470,25.480,25.120,09:14
AENA,143.400,143.500,141.500,09:14
ALMIRALL,13.780,13.780,13.770,09:05
AMADEUS IT GROUP,61.700,61.800,60.800,09:14
ARCELORMITTAL,25.400,25.670,25.340,09:13
BANCO SABADELL,0.657,0.657,0.647,09:14
BANKINTER,4.670,4.670,4.645,09:14
BBVA,5.128,5.130,5.073,09:14
CAIXABANK,2.802,2.803,2.775,09:14
CELLNEX TELECOM,49.650,49.690,49.390,09:14
CIE AUTOMOTIVE,24.300,24.360,24.300,09:09
COLONIAL,8.930,8.935,8.850,09:14
ENAGAS,19.295,19.330,19.250,09:14
ENDESA,23.640,23.660,23.430,09:14
FERROVIAL,24.170,24.170,24.050,09:14
FLUIDRA,33.100,33.100,32.700,09:14
GRIFOLS,23.360,23.390,23.270,09:14
IAG,2.371,2.373,2.347,09:14
IBERDROLA,11.335,11.400,11.330,09:14
INDITEX,31.930,32.030,31.900,09:14
INDRA,7.090,7.105,7.055,09:14
MAPFRE,1.834,1.837,1.825,09:14
MELIÁ HOTELS,7.038,7.044,6.900,09:14
MERLIN PROP,9.110,9.110,9.020,09:14
NATURGY,21.560,21.600,21.540,09:14
PHARMA MAR,78.800,79.640,78.260,09:14
RED ELÉCTRICA,16.330,16.405,16.310,09:14
REPSOL,11.094,11.096,10.986,09:14
SANTANDER,3.368,3.368,3.334,09:14
SIEMENS GAMESA,27.210,27.270,26.810,09:14
SOLARIA,16.545,16.595,16.430,09:14
TELEFÓNICA,4.128,4.180,4.122,09:14
VISCOFAN,58.000,58.200,57.850,09:13
