ACCIONA,142.400,0.56,0.80,22.02,143.800,141.100,22949,7812,15:14
ACERINOX,11.655,-0.81,-0.10,29.01,11.845,11.640,402557,3153,15:13
ACS,25.440,0.83,0.21,-4.75,25.700,25.340,201946,7903,15:15
AENA,142.950,1.06,1.50,0.53,143.900,142.300,35760,21442,15:11
ALMIRALL,13.960,1.09,0.15,29.63,13.980,13.830,108677,2486,15:14
AMADEUS IT GROUP,61.940,0.68,0.42,4.00,61.980,60.640,279351,27904,15:15
ARCELORMITTAL,26.745,0.92,0.25,40.39,26.830,26.520,224459,29495,15:13
BANCO SABADELL,0.630,-6.75,-0.05,77.91,0.681,0.630,51460108,3544,15:14
BANKINTER,4.688,-0.45,-0.02,37.26,4.745,4.687,813479,4214,15:13
BBVA,5.130,-0.25,-0.01,28.85,5.200,5.117,6274132,34206,15:15
CAIXABANK,2.824,-0.88,-0.03,35.67,2.853,2.810,3251256,22763,15:14
CELLNEX TELECOM,49.680,0.57,0.28,9.19,50.000,49.250,342327,33749,15:15
CIE AUTOMOTIVE,24.780,1.31,0.32,13.58,24.900,24.620,57600,3037,15:10
COLONIAL,9.135,1.44,0.13,13.83,9.220,9.050,228303,4642,15:10
ENAGAS,19.375,0.89,0.17,7.85,19.445,19.215,213561,5076,15:14
ENDESA,23.650,0.68,0.16,5.82,23.700,23.480,224782,25039,15:15
FERROVIAL,24.120,1.22,0.29,7.59,24.160,23.930,204248,18026,15:12
FLUIDRA,32.600,-2.54,-0.85,55.61,33.600,32.500,111369,6378,15:14
GRIFOLS,22.960,0.04,0.01,-3.85,23.010,22.700,284671,9784,15:15
IAG,2.360,0.25,0.01,31.77,2.380,2.331,6442485,11733,15:14
IBERDROLA,11.310,0.13,0.02,-1.99,11.365,11.250,1825529,72589,15:14
INDITEX,31.860,2.35,0.73,23.81,31.960,31.300,514034,99297,15:14
INDRA,7.165,0.28,0.02,2.65,7.280,7.140,941680,1266,15:15
MAPFRE,1.880,1.81,0.03,22.87,1.885,1.847,2643695,5790,15:15
MELIÁ HOTELS,6.924,-1.45,-0.10,21.05,7.094,6.918,263134,1526,15:15
MERLIN PROP,9.504,2.35,0.22,26.33,9.578,9.290,673955,4465,15:14
NATURGY,21.600,0.47,0.10,17.38,21.670,21.480,204619,20944,15:12
PHARMA MAR,76.300,-0.29,-0.22,8.16,77.300,74.720,92548,1400,15:13
RED ELÉCTRICA,16.445,0.24,0.04,-0.39,16.465,16.295,280873,8898,15:13
REPSOL,10.990,-0.15,-0.02,33.21,11.096,10.886,1228815,16786,15:14
SANTANDER,3.441,-0.20,-0.01,36.73,3.490,3.420,13016081,59660,15:14
SIEMENS GAMESA,26.940,1.70,0.45,-18.59,27.120,26.590,429362,18350,15:15
SOLARIA,15.430,-1.66,-0.26,-34.73,15.960,15.340,381543,1928,15:15
TELEFÓNICA,4.048,0.07,0.00,24.73,4.092,4.042,6310391,22033,15:14
VISCOFAN,58.150,0.26,0.15,0.17,58.200,57.800,10401,2704,15:12
