ACCIONA,136.900,137.800,136.100,11:16
ACERINOX,11.730,11.850,11.695,11:16
ACS,25.510,25.870,25.410,11:15
AENA,140.650,143.650,140.350,11:16
ALMIRALL,13.900,14.070,13.760,11:11
AMADEUS IT GROUP,58.240,59.100,58.200,11:16
ARCELORMITTAL,25.290,25.740,25.200,11:16
BANCO SABADELL,0.627,0.646,0.621,11:16
BANKINTER,4.691,4.748,4.671,11:16
BBVA,4.954,5.039,4.929,11:16
CAIXABANK,2.770,2.813,2.743,11:16
CELLNEX TELECOM,46.900,47.680,46.540,11:16
CIE AUTOMOTIVE,24.160,24.460,24.060,11:09
COLONIAL,8.590,8.810,8.520,11:16
ENAGAS,19.030,19.160,19.015,11:16
ENDESA,23.040,23.130,22.910,11:16
FERROVIAL,23.750,24.100,23.750,11:16
FLUIDRA,31.700,32.050,31.550,11:14
GRIFOLS,23.200,23.440,23.140,11:16
IAG,2.223,2.288,2.211,11:16
IBERDROLA,11.275,11.340,11.260,11:16
INDITEX,31.810,32.150,31.720,11:16
INDRA,8.035,8.100,8.015,11:14
MAPFRE,1.827,1.866,1.821,11:16
MELIÁ HOTELS,6.634,6.780,6.614,11:16
MERLIN PROP,8.868,9.094,8.820,11:14
NATURGY,21.480,21.540,21.440,11:13
PHARMA MAR,82.740,84.100,82.440,11:13
RED ELÉCTRICA,16.235,16.310,16.160,11:16
REPSOL,10.728,10.958,10.712,11:16
SANTANDER,3.273,3.336,3.254,11:16
SIEMENS GAMESA,26.390,27.050,26.280,11:15
SOLARIA,15.920,16.190,15.845,11:15
TELEFÓNICA,4.113,4.199,4.107,11:16
VISCOFAN,58.200,58.500,58.100,11:09
