ACCIONA,141.400,142.400,139.200,13:14
ACERINOX,11.605,11.715,11.580,13:15
ACS,25.550,25.800,25.500,13:11
AENA,142.650,143.350,140.950,13:15
ALMIRALL,13.880,13.910,13.840,13:12
AMADEUS IT GROUP,61.340,61.500,60.920,13:16
ARCELORMITTAL,25.150,25.370,25.105,13:15
BANCO SABADELL,0.636,0.653,0.635,13:16
BANKINTER,4.660,4.746,4.657,13:16
BBVA,5.051,5.126,5.043,13:15
CAIXABANK,2.775,2.833,2.768,13:16
CELLNEX TELECOM,49.960,50.080,49.660,13:15
CIE AUTOMOTIVE,24.280,24.640,24.200,13:15
COLONIAL,8.795,8.865,8.770,13:09
ENAGAS,19.355,19.370,19.165,13:16
ENDESA,23.670,23.770,23.400,13:14
FERROVIAL,24.210,24.360,24.190,13:16
FLUIDRA,32.650,33.150,32.600,13:15
GRIFOLS,23.640,23.710,23.450,13:15
IAG,2.352,2.359,2.323,13:16
IBERDROLA,11.410,11.540,11.370,13:16
INDITEX,32.070,32.390,31.970,13:16
INDRA,7.065,7.175,7.050,13:16
MAPFRE,1.837,1.847,1.826,13:15
MELIÁ HOTELS,6.920,6.986,6.890,13:15
MERLIN PROP,9.038,9.072,8.980,13:16
NATURGY,21.710,21.800,21.630,13:16
PHARMA MAR,80.860,81.180,79.940,13:15
RED ELÉCTRICA,16.400,16.455,16.350,13:15
REPSOL,10.934,10.992,10.822,13:16
SANTANDER,3.317,3.379,3.310,13:16
SIEMENS GAMESA,26.710,27.150,26.440,13:16
SOLARIA,16.655,16.760,16.330,13:16
TELEFÓNICA,4.151,4.200,4.126,13:15
VISCOFAN,58.450,59.000,58.450,13:15
