ACCIONA,136.800,1.11,1.50,17.22,138.000,135.500,42386,7504,16:11
ACERINOX,11.870,-0.67,-0.08,31.39,12.185,11.860,453119,3211,16:12
ACS,26.360,-0.90,-0.24,-1.30,26.720,26.320,215625,8189,16:13
AENA,143.150,-0.52,-0.75,0.67,145.950,143.000,44199,21472,16:13
ALMIRALL,14.090,-1.61,-0.23,30.84,14.390,14.060,172793,2510,16:13
AMADEUS IT GROUP,59.760,-0.63,-0.38,0.34,61.620,59.640,263908,26922,16:13
ARCELORMITTAL,26.805,-0.70,-0.19,40.71,27.710,26.700,588363,29561,16:13
BANCO SABADELL,0.640,-2.47,-0.02,80.73,0.675,0.638,26665846,3600,16:13
BANKINTER,4.762,-0.36,-0.02,39.43,4.835,4.758,1097054,4280,16:12
BBVA,5.100,1.84,0.09,28.10,5.129,5.044,7571788,34006,16:13
CAIXABANK,2.851,0.07,0.00,35.70,2.881,2.848,5829450,22981,16:13
CELLNEX TELECOM,46.000,0.09,0.04,1.10,46.410,45.450,392638,31249,16:13
CIE AUTOMOTIVE,24.480,-1.13,-0.28,12.21,24.940,24.400,66519,3000,16:12
COLONIAL,8.595,-2.88,-0.26,7.10,8.770,8.465,570850,4367,16:12
ENAGAS,19.080,0.24,0.05,6.21,19.185,19.035,267079,4999,16:13
ENDESA,23.130,-0.04,-0.01,3.49,23.390,23.050,522620,24489,16:13
FERROVIAL,24.200,-1.63,-0.40,7.95,24.810,24.120,433075,18086,16:09
FLUIDRA,32.050,-1.84,-0.60,52.98,32.900,31.850,228347,6270,16:10
GRIFOLS,23.490,-2.13,-0.51,-1.63,24.140,23.340,431725,10010,16:12
IAG,2.298,3.23,0.07,28.31,2.298,2.245,12416926,11424,16:13
IBERDROLA,11.270,-0.44,-0.05,-2.34,11.430,11.255,2743770,72333,16:13
INDITEX,32.300,-0.03,-0.01,25.51,32.650,31.940,930143,100668,16:13
INDRA,8.190,0.00,0.00,17.34,8.300,8.115,346842,1447,16:12
MAPFRE,1.911,-0.80,-0.02,19.96,1.944,1.910,3754138,5885,16:13
MELIÁ HOTELS,6.866,2.32,0.16,20.03,6.870,6.736,429470,1513,16:13
MERLIN PROP,8.874,0.05,0.00,17.95,8.922,8.796,407007,4169,16:13
NATURGY,21.670,-0.64,-0.14,17.76,22.140,21.670,655550,21012,16:12
PHARMA MAR,84.480,1.03,0.86,19.76,84.480,82.100,45243,1551,16:13
RED ELÉCTRICA,16.110,0.72,0.12,-2.42,16.180,16.075,274330,8717,16:13
REPSOL,11.208,0.18,0.02,35.85,11.400,11.190,3910984,17119,16:13
SANTANDER,3.350,0.57,0.02,33.14,3.397,3.337,15710021,58091,16:13
SIEMENS GAMESA,26.280,3.46,0.88,-20.58,26.630,25.580,862225,17900,16:13
SOLARIA,15.735,0.93,0.14,-33.44,16.250,15.550,574051,1966,16:13
TELEFÓNICA,4.122,-0.67,-0.03,27.03,4.177,4.076,9268253,22438,16:13
VISCOFAN,57.900,0.09,0.05,-0.26,58.400,57.850,14686,2692,16:11
