ACCIONA,142.800,0.85,1.20,22.37,143.800,141.100,14926,7834,12:06
ACERINOX,11.690,-0.51,-0.06,29.40,11.845,11.645,254938,3163,12:13
ACS,25.610,1.51,0.38,-4.11,25.700,25.340,135254,7956,12:14
AENA,142.500,0.74,1.05,0.21,143.900,142.300,23355,21375,12:13
ALMIRALL,13.830,0.14,0.02,28.42,13.920,13.830,36584,2463,12:10
AMADEUS IT GROUP,61.540,0.03,0.02,3.32,61.800,60.640,195359,27724,12:15
ARCELORMITTAL,26.580,0.30,0.08,39.53,26.830,26.520,161627,29313,12:15
BANCO SABADELL,0.646,-4.35,-0.03,82.49,0.681,0.645,31578740,3635,12:15
BANKINTER,4.708,-0.02,-0.00,37.85,4.745,4.700,458805,4232,12:14
BBVA,5.140,-0.06,-0.00,29.10,5.200,5.134,3639932,34273,12:14
CAIXABANK,2.814,-1.23,-0.04,35.19,2.853,2.810,2582102,22683,12:14
CELLNEX TELECOM,49.540,0.28,0.14,8.88,50.000,49.250,237680,33654,12:15
CIE AUTOMOTIVE,24.780,1.31,0.32,13.58,24.900,24.620,49637,3037,12:14
COLONIAL,9.190,2.05,0.18,14.52,9.220,9.050,174422,4670,12:13
ENAGAS,19.305,0.52,0.10,7.46,19.345,19.215,128310,5058,12:14
ENDESA,23.590,0.43,0.10,5.55,23.700,23.480,152914,24976,12:14
FERROVIAL,24.060,0.97,0.23,7.33,24.120,23.930,131508,17982,12:15
FLUIDRA,32.800,-1.94,-0.65,56.56,33.600,32.750,75196,6417,12:11
GRIFOLS,22.780,-0.74,-0.17,-4.61,23.010,22.700,176024,9707,12:12
IAG,2.354,0.00,0.00,31.43,2.380,2.331,4602266,11703,12:15
IBERDROLA,11.290,-0.04,-0.01,-2.16,11.365,11.250,1343333,72461,12:13
INDITEX,31.850,2.31,0.72,23.77,31.850,31.300,334516,99265,12:15
INDRA,7.170,0.35,0.03,2.72,7.280,7.150,745357,1267,12:15
MAPFRE,1.872,1.35,0.02,22.31,1.874,1.847,1199616,5763,12:15
MELIÁ HOTELS,6.944,-1.17,-0.08,21.40,7.094,6.936,134159,1530,12:15
MERLIN PROP,9.528,2.61,0.24,26.65,9.578,9.290,508682,4476,12:15
NATURGY,21.600,0.47,0.10,17.38,21.670,21.480,120934,20944,12:13
PHARMA MAR,75.360,-1.52,-1.16,6.83,77.300,74.720,75967,1383,12:11
RED ELÉCTRICA,16.410,0.03,0.00,-0.60,16.440,16.295,195638,8879,12:14
REPSOL,10.942,-0.58,-0.06,32.63,11.096,10.886,772143,16713,12:14
SANTANDER,3.421,-0.75,-0.03,35.98,3.490,3.420,8775898,59331,12:15
SIEMENS GAMESA,26.840,1.32,0.35,-18.89,27.120,26.590,210986,18282,12:13
SOLARIA,15.650,-0.25,-0.04,-33.80,15.960,15.510,255593,1955,12:15
TELEFÓNICA,4.050,0.14,0.01,24.81,4.092,4.050,4032255,22046,12:15
VISCOFAN,57.950,-0.09,-0.05,-0.17,58.200,57.800,7271,2695,12:10
