ACCIONA,138.700,142.200,138.400,14:14
ACERINOX,11.750,11.835,11.705,14:14
ACS,25.580,25.860,25.390,14:15
AENA,144.200,144.600,142.750,14:15
ALMIRALL,13.990,14.040,13.870,14:15
AMADEUS IT GROUP,62.020,62.360,61.740,14:15
ARCELORMITTAL,26.925,26.990,26.510,14:15
BANCO SABADELL,0.629,0.638,0.623,14:15
BANKINTER,4.711,4.727,4.662,14:15
BBVA,5.149,5.172,5.131,14:15
CAIXABANK,2.830,2.849,2.814,14:15
CELLNEX TELECOM,49.170,49.970,49.150,14:15
CIE AUTOMOTIVE,24.720,24.920,24.600,13:45
COLONIAL,9.130,9.175,9.080,14:11
ENAGAS,19.345,19.385,19.250,14:15
ENDESA,22.650,23.200,22.380,14:15
FERROVIAL,24.130,24.280,23.940,14:15
FLUIDRA,33.200,33.500,32.700,14:15
GRIFOLS,22.960,23.080,22.870,14:15
IAG,2.376,2.380,2.352,14:15
IBERDROLA,11.140,11.215,11.050,14:15
INDITEX,31.820,31.970,31.650,14:15
INDRA,7.090,7.205,7.075,14:12
MAPFRE,1.867,1.895,1.866,14:15
MELIÁ HOTELS,6.874,6.978,6.860,14:15
MERLIN PROP,9.508,9.550,9.454,14:15
NATURGY,21.500,21.520,21.450,14:15
PHARMA MAR,76.720,77.480,76.180,14:14
RED ELÉCTRICA,16.510,16.560,16.355,14:15
REPSOL,10.984,10.988,10.906,14:15
SANTANDER,3.446,3.460,3.431,14:15
SIEMENS GAMESA,27.100,27.270,26.920,14:15
SOLARIA,16.440,16.660,15.350,14:14
TELEFÓNICA,4.064,4.084,4.040,14:15
VISCOFAN,57.950,58.250,57.750,14:15
