ACCIONA,134.400,138.100,134.300,15:10
ACERINOX,11.480,11.575,11.460,15:16
ACS,25.570,25.960,25.570,15:16
AENA,144.800,146.000,144.000,15:16
ALMIRALL,14.130,14.300,14.110,15:14
AMADEUS IT GROUP,63.060,63.600,61.960,15:16
ARCELORMITTAL,27.455,27.730,27.155,15:15
BANCO SABADELL,0.637,0.649,0.635,15:15
BANKINTER,4.700,4.708,4.642,15:15
BBVA,5.226,5.280,5.168,15:16
CAIXABANK,2.867,2.877,2.836,15:16
CELLNEX TELECOM,49.150,49.740,49.150,15:13
CIE AUTOMOTIVE,25.500,25.860,25.300,15:05
COLONIAL,9.145,9.255,9.145,15:14
ENAGAS,19.350,19.445,19.260,15:11
ENDESA,22.010,22.010,21.660,15:16
FERROVIAL,24.610,24.860,24.460,15:16
FLUIDRA,32.850,33.250,32.800,15:13
GRIFOLS,22.320,22.760,22.310,15:14
IAG,2.429,2.437,2.386,15:16
IBERDROLA,10.730,10.880,10.705,15:16
INDITEX,31.840,32.030,31.670,15:16
INDRA,7.210,7.260,7.155,15:14
MAPFRE,1.868,1.890,1.865,15:16
MELIÁ HOTELS,7.086,7.122,7.004,15:14
MERLIN PROP,9.458,9.626,9.458,15:13
NATURGY,21.330,21.450,21.310,15:16
PHARMA MAR,72.900,74.800,72.540,15:16
RED ELÉCTRICA,16.475,16.600,16.425,15:16
REPSOL,11.236,11.410,11.220,15:16
SANTANDER,3.467,3.493,3.443,15:16
SIEMENS GAMESA,26.060,27.300,26.050,15:16
SOLARIA,15.410,16.140,15.405,15:16
TELEFÓNICA,3.832,3.891,3.830,15:15
VISCOFAN,57.050,57.350,56.600,15:11
