ACCIONA,140.100,-1.27,-1.80,20.05,142.200,140.100,3210,7685,09:15
ACERINOX,11.765,0.60,0.07,30.23,11.830,11.705,79349,3183,09:14
ACS,25.560,1.03,0.26,-4.30,25.600,25.390,21148,7941,09:15
AENA,143.050,0.03,0.05,0.60,143.100,142.750,1077,21458,09:14
ALMIRALL,13.980,-0.21,-0.03,29.82,14.040,13.970,24351,2490,09:15
AMADEUS IT GROUP,62.000,0.00,0.00,4.10,62.060,61.820,10390,27931,09:14
ARCELORMITTAL,26.670,0.83,0.22,40.00,26.740,26.510,10751,29412,09:15
BANCO SABADELL,0.633,0.29,0.00,78.81,0.638,0.631,2093582,3562,09:13
BANKINTER,4.694,0.30,0.01,37.44,4.700,4.662,16189,4219,09:15
BBVA,5.137,0.21,0.01,29.02,5.160,5.131,227436,34253,09:14
CAIXABANK,2.826,-0.53,-0.02,35.77,2.849,2.826,229095,22779,09:15
CELLNEX TELECOM,49.920,0.22,0.11,9.72,49.970,49.850,15651,33912,09:15
CIE AUTOMOTIVE,24.640,0.33,0.08,12.94,24.920,24.640,3329,3020,09:15
COLONIAL,9.130,0.16,0.02,13.77,9.175,9.120,21269,4639,09:12
ENAGAS,19.265,-0.03,-0.01,7.24,19.320,19.250,22140,5047,09:12
ENDESA,22.660,-4.19,-0.99,1.39,23.200,22.610,366272,23991,09:15
FERROVIAL,24.080,0.46,0.11,7.41,24.080,23.940,16569,17997,09:12
FLUIDRA,32.950,1.07,0.35,57.28,33.100,32.700,10720,6446,09:15
GRIFOLS,22.900,0.22,0.05,-4.10,22.930,22.870,5451,9758,09:10
IAG,2.358,-0.08,-0.00,31.66,2.376,2.352,432894,11723,09:15
IBERDROLA,11.110,-1.72,-0.20,-3.72,11.215,11.060,703956,71306,09:15
INDITEX,31.960,0.13,0.04,24.19,31.970,31.790,39578,99608,09:14
INDRA,7.140,-0.14,-0.01,2.29,7.205,7.140,77762,1261,09:15
MAPFRE,1.875,-0.16,-0.00,22.54,1.895,1.875,190831,5774,09:15
MELIÁ HOTELS,6.898,0.20,0.01,20.59,6.906,6.876,27564,1520,09:13
MERLIN PROP,9.470,0.08,0.01,25.88,9.550,9.462,45688,4449,09:14
NATURGY,21.460,-0.05,-0.01,16.62,21.520,21.450,9026,20808,09:12
PHARMA MAR,76.520,-0.03,-0.02,8.48,76.680,76.180,4944,1405,09:15
RED ELÉCTRICA,16.370,-0.30,-0.05,-0.84,16.430,16.355,47753,8857,09:15
REPSOL,10.914,-0.46,-0.05,32.29,10.988,10.914,69618,16670,09:14
SANTANDER,3.437,-0.41,-0.01,36.57,3.460,3.433,698254,59591,09:15
SIEMENS GAMESA,27.190,0.30,0.08,-17.83,27.210,27.010,17084,18520,09:14
SOLARIA,15.945,3.17,0.49,-32.55,15.945,15.350,48627,1992,09:15
TELEFÓNICA,4.063,0.76,0.03,25.21,4.070,4.052,655700,22117,09:15
VISCOFAN,58.000,0.26,0.15,-0.09,58.250,57.750,1780,2697,09:12
