ACCIONA,132.100,134.700,131.600,13:13
ACERINOX,11.500,11.560,11.425,13:14
ACS,25.280,25.900,25.150,13:16
AENA,141.300,142.250,140.700,13:16
ALMIRALL,14.130,14.220,14.100,13:07
AMADEUS IT GROUP,61.900,62.660,61.480,13:16
ARCELORMITTAL,27.185,27.185,26.880,13:14
BANCO SABADELL,0.646,0.658,0.644,13:16
BANKINTER,4.642,4.700,4.622,13:16
BBVA,5.269,5.293,5.239,13:15
CAIXABANK,2.846,2.869,2.832,13:15
CELLNEX TELECOM,49.740,49.800,49.230,13:15
CIE AUTOMOTIVE,25.800,25.860,25.560,13:16
COLONIAL,9.160,9.600,9.130,13:15
ENAGAS,19.555,19.555,19.370,13:15
ENDESA,21.660,21.870,21.580,13:15
FERROVIAL,24.400,24.520,24.320,13:11
FLUIDRA,32.500,32.600,32.100,13:13
GRIFOLS,21.490,21.870,21.400,13:16
IAG,2.298,2.322,2.254,13:15
IBERDROLA,10.610,10.735,10.580,13:16
INDITEX,31.600,31.820,31.480,13:16
INDRA,7.150,7.200,7.125,13:15
MAPFRE,1.881,1.889,1.872,13:14
MELIÁ HOTELS,6.946,6.970,6.810,13:15
MERLIN PROP,9.448,9.460,9.334,13:13
NATURGY,21.390,21.530,21.390,13:12
PHARMA MAR,73.260,74.340,72.820,13:16
RED ELÉCTRICA,16.590,16.645,16.535,13:15
REPSOL,11.326,11.410,11.276,13:15
SANTANDER,3.469,3.508,3.457,13:16
SIEMENS GAMESA,24.840,25.590,24.820,13:16
SOLARIA,14.595,14.995,14.500,13:15
TELEFÓNICA,3.821,3.876,3.818,13:15
VISCOFAN,57.750,58.100,57.500,13:15
