ACCIONA,138.400,-2.47,-3.50,18.59,142.200,138.200,33994,7592,17:15
ACERINOX,11.755,0.51,0.06,30.12,11.835,11.705,619920,3180,17:15
ACS,25.530,0.91,0.23,-4.41,25.860,25.390,211746,7931,17:15
AENA,144.050,0.73,1.05,1.30,144.950,142.750,40657,21608,17:15
ALMIRALL,14.050,0.29,0.04,30.47,14.080,13.870,142159,2503,17:15
AMADEUS IT GROUP,61.900,-0.16,-0.10,3.93,62.360,61.740,118529,27886,17:15
ARCELORMITTAL,27.005,2.10,0.55,41.76,27.045,26.510,330092,29781,17:15
BANCO SABADELL,0.625,-0.95,-0.01,76.61,0.638,0.623,19356700,3518,17:15
BANKINTER,4.693,0.28,0.01,37.41,4.727,4.662,673825,4218,17:15
BBVA,5.143,0.33,0.02,29.18,5.172,5.131,2963039,34293,17:15
CAIXABANK,2.813,-0.99,-0.03,35.14,2.849,2.810,3039714,22675,17:15
CELLNEX TELECOM,49.250,-1.12,-0.56,8.25,49.970,49.070,227910,33457,17:15
CIE AUTOMOTIVE,24.880,1.30,0.32,14.04,24.920,24.600,60897,3049,17:13
COLONIAL,9.115,0.00,0.00,13.58,9.175,9.080,126508,4631,17:15
ENAGAS,19.265,-0.03,-0.01,7.24,19.385,19.250,229498,5047,17:15
ENDESA,22.370,-5.41,-1.28,0.09,23.200,22.350,2389488,23684,17:15
FERROVIAL,24.090,0.50,0.12,7.46,24.280,23.940,319099,18004,17:15
FLUIDRA,33.100,1.53,0.50,58.00,33.500,32.700,176753,6475,17:14
GRIFOLS,22.860,0.04,0.01,-4.27,23.080,22.830,132578,9741,17:15
IAG,2.374,0.59,0.01,32.55,2.380,2.352,4517048,11802,17:15
IBERDROLA,11.035,-2.39,-0.27,-4.37,11.215,11.035,5609916,70824,17:15
INDITEX,31.680,-0.75,-0.24,23.11,31.970,31.650,476251,98736,17:15
INDRA,7.025,-1.75,-0.12,0.64,7.205,7.025,679166,1241,17:15
MAPFRE,1.865,-0.72,-0.01,21.85,1.895,1.860,1105140,5742,17:15
MELIÁ HOTELS,6.926,0.61,0.04,21.08,6.978,6.860,405548,1526,17:15
MERLIN PROP,9.502,0.42,0.04,26.30,9.550,9.454,315111,4464,17:13
NATURGY,21.490,0.09,0.02,16.79,21.530,21.450,133113,20837,17:15
PHARMA MAR,76.800,0.34,0.26,8.87,77.480,76.180,56318,1410,17:15
RED ELÉCTRICA,16.415,-0.03,-0.00,-0.57,16.560,16.355,349968,8882,17:15
REPSOL,10.974,0.09,0.01,33.02,11.010,10.906,1037050,16762,17:15
SANTANDER,3.427,-0.68,-0.02,36.20,3.460,3.422,8262486,59426,17:15
SIEMENS GAMESA,26.880,-0.85,-0.23,-18.77,27.270,26.740,169325,18309,17:14
SOLARIA,15.915,2.98,0.46,-32.68,16.660,15.350,851936,1989,17:15
TELEFÓNICA,4.034,0.04,0.00,24.31,4.084,4.030,7847350,21959,17:15
VISCOFAN,57.900,0.09,0.05,-0.26,58.250,57.750,7645,2692,17:14
