ACCIONA,132.800,134.700,131.600,15:11
ACERINOX,11.515,11.560,11.425,15:15
ACS,25.240,25.900,25.150,15:15
AENA,141.050,142.250,140.200,15:15
ALMIRALL,14.190,14.220,14.100,14:57
AMADEUS IT GROUP,61.900,62.660,61.480,15:15
ARCELORMITTAL,27.290,27.300,26.880,15:13
BANCO SABADELL,0.640,0.658,0.638,15:16
BANKINTER,4.611,4.700,4.602,15:14
BBVA,5.260,5.293,5.230,15:14
CAIXABANK,2.837,2.869,2.832,15:11
CELLNEX TELECOM,49.880,50.020,49.230,15:15
CIE AUTOMOTIVE,25.920,25.960,25.560,15:15
COLONIAL,9.170,9.600,9.070,15:15
ENAGAS,19.605,19.670,19.370,15:15
ENDESA,21.790,21.870,21.580,15:16
FERROVIAL,24.480,24.520,24.320,15:14
FLUIDRA,32.950,33.000,32.100,15:16
GRIFOLS,21.660,21.870,21.400,15:15
IAG,2.299,2.322,2.254,15:15
IBERDROLA,10.670,10.735,10.580,15:15
INDITEX,31.500,31.820,31.470,15:14
INDRA,7.150,7.200,7.125,15:06
MAPFRE,1.875,1.889,1.870,15:11
MELIÁ HOTELS,6.916,6.970,6.810,15:14
MERLIN PROP,9.476,9.478,9.334,15:16
NATURGY,21.440,21.530,21.360,15:15
PHARMA MAR,73.880,74.340,72.820,15:15
RED ELÉCTRICA,16.610,16.645,16.535,15:15
REPSOL,11.276,11.410,11.230,15:15
SANTANDER,3.470,3.508,3.445,15:16
SIEMENS GAMESA,25.230,25.590,24.770,15:15
SOLARIA,14.805,14.995,14.500,15:16
TELEFÓNICA,3.825,3.876,3.813,15:16
VISCOFAN,57.600,58.100,57.500,15:14
