ACCIONA,136.000,138.100,135.700,10:12
ACERINOX,11.560,11.575,11.485,10:14
ACS,25.840,25.840,25.660,10:14
AENA,145.500,146.000,144.650,10:14
ALMIRALL,14.280,14.300,14.210,10:12
AMADEUS IT GROUP,63.440,63.480,61.960,10:14
ARCELORMITTAL,27.390,27.730,27.155,10:14
BANCO SABADELL,0.643,0.647,0.635,10:13
BANKINTER,4.688,4.708,4.642,10:14
BBVA,5.220,5.239,5.168,10:14
CAIXABANK,2.849,2.868,2.836,10:14
CELLNEX TELECOM,49.610,49.740,49.410,10:14
CIE AUTOMOTIVE,25.660,25.860,25.500,10:09
COLONIAL,9.210,9.210,9.160,10:10
ENAGAS,19.400,19.420,19.260,10:13
ENDESA,21.760,21.940,21.660,10:14
FERROVIAL,24.640,24.790,24.460,10:13
FLUIDRA,33.050,33.250,32.800,10:12
GRIFOLS,22.540,22.760,22.510,10:14
IAG,2.425,2.427,2.386,10:14
IBERDROLA,10.820,10.880,10.820,10:14
INDITEX,31.730,32.030,31.670,10:14
INDRA,7.170,7.260,7.170,10:14
MAPFRE,1.875,1.890,1.871,10:14
MELIÁ HOTELS,7.068,7.122,7.020,10:13
MERLIN PROP,9.570,9.590,9.540,10:14
NATURGY,21.430,21.430,21.310,10:14
PHARMA MAR,72.860,74.800,72.720,10:14
RED ELÉCTRICA,16.545,16.545,16.425,10:14
REPSOL,11.372,11.380,11.236,10:14
SANTANDER,3.476,3.485,3.443,10:14
SIEMENS GAMESA,26.820,27.300,26.760,10:12
SOLARIA,15.790,16.140,15.770,10:14
TELEFÓNICA,3.872,3.891,3.848,10:14
VISCOFAN,57.100,57.350,56.600,10:14
