ACCIONA,138.400,142.200,138.200,17:15
ACERINOX,11.755,11.835,11.705,17:15
ACS,25.530,25.860,25.390,17:15
AENA,144.050,144.950,142.750,17:15
ALMIRALL,14.050,14.080,13.870,17:15
AMADEUS IT GROUP,61.900,62.360,61.740,17:15
ARCELORMITTAL,27.005,27.045,26.510,17:15
BANCO SABADELL,0.625,0.638,0.623,17:15
BANKINTER,4.693,4.727,4.662,17:15
BBVA,5.143,5.172,5.131,17:15
CAIXABANK,2.813,2.849,2.810,17:15
CELLNEX TELECOM,49.250,49.970,49.070,17:15
CIE AUTOMOTIVE,24.880,24.920,24.600,17:13
COLONIAL,9.115,9.175,9.080,17:15
ENAGAS,19.265,19.385,19.250,17:15
ENDESA,22.370,23.200,22.350,17:15
FERROVIAL,24.090,24.280,23.940,17:15
FLUIDRA,33.100,33.500,32.700,17:14
GRIFOLS,22.860,23.080,22.830,17:15
IAG,2.374,2.380,2.352,17:15
IBERDROLA,11.035,11.215,11.035,17:15
INDITEX,31.680,31.970,31.650,17:15
INDRA,7.025,7.205,7.025,17:15
MAPFRE,1.865,1.895,1.860,17:15
MELIÁ HOTELS,6.926,6.978,6.860,17:15
MERLIN PROP,9.502,9.550,9.454,17:13
NATURGY,21.490,21.530,21.450,17:15
PHARMA MAR,76.800,77.480,76.180,17:15
RED ELÉCTRICA,16.415,16.560,16.355,17:15
REPSOL,10.974,11.010,10.906,17:15
SANTANDER,3.427,3.460,3.422,17:15
SIEMENS GAMESA,26.880,27.270,26.740,17:14
SOLARIA,15.915,16.660,15.350,17:15
TELEFÓNICA,4.034,4.084,4.030,17:15
VISCOFAN,57.900,58.250,57.750,17:14
