ACCIONA,138.700,0.43,0.60,18.85,139.100,137.600,18348,7609,13:13
ACERINOX,11.495,2.31,0.26,27.24,11.545,10.780,504375,3110,13:16
ACS,25.650,0.59,0.15,-3.96,25.700,25.250,163095,7969,13:15
AENA,143.800,0.21,0.30,1.13,144.650,143.350,18602,21570,13:16
ALMIRALL,14.430,2.85,0.40,33.99,14.450,14.000,149895,2570,13:07
AMADEUS IT GROUP,62.580,1.36,0.84,5.07,62.800,61.500,114835,28192,13:16
ARCELORMITTAL,27.475,2.14,0.58,44.23,27.705,27.100,333863,30300,13:14
BANCO SABADELL,0.638,1.85,0.01,80.34,0.639,0.627,8793834,3592,13:16
BANKINTER,4.706,0.34,0.02,37.79,4.726,4.695,344846,4230,13:15
BBVA,5.241,2.04,0.11,31.64,5.243,5.141,4567360,34946,13:15
CAIXABANK,2.843,1.32,0.04,36.58,2.843,2.819,2136612,22916,13:15
CELLNEX TELECOM,49.510,0.88,0.43,8.82,49.520,48.760,208095,33634,13:15
CIE AUTOMOTIVE,25.580,3.06,0.76,17.25,25.700,24.840,107226,3135,13:15
COLONIAL,9.095,-0.27,-0.02,13.33,9.250,9.060,82012,4621,13:09
ENAGAS,19.405,0.94,0.18,8.02,19.475,19.235,186026,5084,13:15
ENDESA,22.140,-0.72,-0.16,-0.94,22.400,22.020,819429,23441,13:15
FERROVIAL,24.210,0.75,0.18,7.99,24.270,24.070,111162,18094,13:13
FLUIDRA,33.400,1.06,0.35,59.43,33.400,33.100,78494,6534,13:15
GRIFOLS,23.000,0.74,0.17,-3.69,23.000,22.700,108077,9801,13:14
IAG,2.382,0.29,0.01,33.00,2.382,2.354,4242547,11842,13:15
IBERDROLA,11.000,0.05,0.01,-4.68,11.030,10.875,2814888,70600,13:16
INDITEX,31.930,0.76,0.24,24.08,31.980,31.660,278682,99515,13:13
INDRA,7.085,1.07,0.07,1.50,7.110,7.005,497558,1252,13:15
MAPFRE,1.883,1.07,0.02,23.10,1.890,1.865,1496068,5800,13:15
MELIÁ HOTELS,6.890,-0.38,-0.03,20.45,7.000,6.888,248942,1519,13:16
MERLIN PROP,9.560,0.78,0.07,27.07,9.560,9.402,221672,4491,13:16
NATURGY,21.370,-0.28,-0.06,16.13,21.490,21.230,187540,20721,13:13
PHARMA MAR,76.020,-1.12,-0.86,7.77,77.380,74.880,37756,1395,13:10
RED ELÉCTRICA,16.440,0.12,0.02,-0.42,16.530,16.375,338733,8895,13:13
REPSOL,11.172,2.27,0.25,35.42,11.206,11.000,1417539,17064,13:14
SANTANDER,3.482,1.69,0.06,38.38,3.483,3.435,8270154,60380,13:16
SIEMENS GAMESA,27.160,1.08,0.29,-17.92,27.250,26.830,127590,18500,13:16
SOLARIA,16.175,1.47,0.23,-31.58,16.475,15.845,452174,2021,13:16
TELEFÓNICA,3.879,1.50,0.06,19.55,3.928,3.830,8545271,21118,13:16
VISCOFAN,57.750,0.26,0.15,-0.52,57.750,57.100,17582,2685,13:14
