ACCIONA,137.700,-0.29,-0.40,17.99,139.100,137.100,77561,7554,18:04
ACERINOX,11.500,-2.04,-0.24,27.30,11.545,10.780,865576,3111,18:04
ACS,25.710,0.82,0.21,-3.74,25.860,25.250,481026,7987,18:04
AENA,145.650,1.50,2.15,2.43,145.750,143.350,154023,21848,18:04
ALMIRALL,14.220,1.35,0.19,32.04,14.450,14.000,284496,2533,18:04
AMADEUS IT GROUP,61.900,0.26,0.16,3.93,62.800,61.500,508132,27886,18:04
ARCELORMITTAL,27.465,2.10,0.57,44.17,27.705,27.100,637667,30289,18:04
BANCO SABADELL,0.643,2.03,0.01,81.58,0.645,0.627,26257096,3617,18:04
BANKINTER,4.689,-0.02,-0.00,37.29,4.726,4.672,1760598,4215,18:04
BBVA,5.226,1.67,0.09,31.26,5.247,5.141,15340313,34846,18:04
CAIXABANK,2.853,1.53,0.04,37.06,2.868,2.819,9075818,22997,18:04
CELLNEX TELECOM,49.420,0.69,0.34,8.62,49.710,48.760,893429,33572,18:04
CIE AUTOMOTIVE,25.640,3.30,0.82,17.53,25.700,24.840,241256,3142,18:04
COLONIAL,9.155,0.38,0.03,14.08,9.250,9.060,345183,4652,18:04
ENAGAS,19.285,0.29,0.06,7.35,19.475,19.235,676158,5052,18:04
ENDESA,22.040,-1.17,-0.26,-1.39,22.400,22.020,2007542,23335,18:04
FERROVIAL,24.200,0.71,0.17,7.95,24.330,24.070,727387,18086,18:04
FLUIDRA,33.100,0.15,0.05,58.00,33.600,32.800,258707,6475,18:04
GRIFOLS,22.660,-0.74,-0.17,-5.11,23.030,22.660,493830,9656,18:04
IAG,2.399,0.80,0.02,33.95,2.414,2.354,11897708,11927,18:04
IBERDROLA,10.920,-0.73,-0.08,-5.37,11.075,10.875,9049937,70086,18:04
INDITEX,31.770,0.25,0.08,23.46,31.980,31.660,1488922,99016,18:04
INDRA,7.210,2.85,0.20,3.30,7.260,7.005,1486472,1274,18:04
MAPFRE,1.886,1.40,0.03,23.26,1.892,1.865,3089776,5808,18:04
MELIÁ HOTELS,7.080,2.31,0.16,23.78,7.092,6.888,877608,1560,18:04
MERLIN PROP,9.570,0.84,0.08,27.20,9.574,9.402,588519,4496,18:04
NATURGY,21.340,-0.42,-0.09,15.97,21.490,21.230,567441,20692,18:04
PHARMA MAR,74.500,-3.10,-2.38,5.61,77.380,73.800,122800,1367,18:04
RED ELÉCTRICA,16.420,0.00,0.00,-0.54,16.570,16.375,1103620,8885,18:04
REPSOL,11.240,2.93,0.32,36.24,11.278,11.000,5289149,17168,18:04
SANTANDER,3.478,1.70,0.06,38.22,3.486,3.435,26366856,60311,18:04
SIEMENS GAMESA,27.000,0.48,0.13,-18.40,27.370,26.790,603342,18391,18:04
SOLARIA,16.065,0.78,0.13,-32.04,16.475,15.845,856896,2007,18:04
TELEFÓNICA,3.865,-3.84,-0.15,19.12,3.928,3.830,18594340,21042,18:04
VISCOFAN,57.550,-0.52,-0.30,-0.86,57.750,57.100,52247,2676,18:04
