ACCIONA,137.800,137.800,136.100,10:14
ACERINOX,11.785,11.850,11.735,10:12
ACS,25.590,25.870,25.540,10:14
AENA,141.250,143.650,141.000,10:14
ALMIRALL,13.920,14.070,13.760,10:14
AMADEUS IT GROUP,58.660,59.100,58.440,10:14
ARCELORMITTAL,25.435,25.740,25.400,10:13
BANCO SABADELL,0.627,0.646,0.626,10:14
BANKINTER,4.692,4.748,4.691,10:14
BBVA,4.952,5.039,4.935,10:14
CAIXABANK,2.757,2.813,2.751,10:14
CELLNEX TELECOM,47.590,47.680,46.540,10:14
CIE AUTOMOTIVE,24.260,24.460,24.200,10:13
COLONIAL,8.565,8.810,8.530,10:13
ENAGAS,19.100,19.160,19.070,10:14
ENDESA,23.110,23.130,22.910,10:14
FERROVIAL,23.930,24.100,23.840,10:14
FLUIDRA,31.850,32.050,31.700,10:10
GRIFOLS,23.330,23.440,23.140,10:13
IAG,2.231,2.288,2.226,10:14
IBERDROLA,11.330,11.335,11.275,10:14
INDITEX,31.940,32.150,31.800,10:13
INDRA,8.040,8.100,8.025,10:13
MAPFRE,1.827,1.866,1.822,10:14
MELIÁ HOTELS,6.648,6.780,6.646,10:12
MERLIN PROP,8.892,9.094,8.892,10:12
NATURGY,21.500,21.540,21.450,10:14
PHARMA MAR,83.940,84.100,82.440,10:14
RED ELÉCTRICA,16.285,16.310,16.160,10:13
REPSOL,10.774,10.958,10.764,10:14
SANTANDER,3.281,3.336,3.273,10:14
SIEMENS GAMESA,27.010,27.050,26.280,10:14
SOLARIA,16.175,16.190,15.850,10:14
TELEFÓNICA,4.127,4.199,4.124,10:14
VISCOFAN,58.250,58.500,58.100,10:00
