ACCIONA,133.100,-1.19,-1.60,14.05,135.700,132.900,20127,7301,14:13
ACERINOX,11.445,-0.69,-0.08,32.33,11.535,11.415,210798,3096,14:15
ACS,25.360,-1.36,-0.35,-5.05,25.720,25.350,193297,7878,14:11
AENA,141.800,-2.00,-2.90,-0.28,144.850,141.700,33020,21270,14:15
ALMIRALL,14.070,-0.35,-0.05,30.65,14.190,14.050,77485,2506,14:15
AMADEUS IT GROUP,62.020,-2.02,-1.28,4.13,63.520,62.020,116704,27940,14:15
ARCELORMITTAL,26.955,-2.16,-0.59,41.50,27.530,26.920,226974,29726,14:14
BANCO SABADELL,0.643,0.41,0.00,81.75,0.650,0.641,11047520,3620,14:14
BANKINTER,4.684,0.11,0.01,37.15,4.716,4.650,656248,4210,14:14
BBVA,5.239,-0.19,-0.01,31.59,5.279,5.222,3138595,34933,14:15
CAIXABANK,2.852,-0.66,-0.02,37.02,2.876,2.850,2001324,22989,14:15
CELLNEX TELECOM,49.440,0.22,0.11,8.66,49.890,49.360,132466,33586,14:15
CIE AUTOMOTIVE,25.380,-0.47,-0.12,16.33,25.540,25.320,24905,3110,14:15
COLONIAL,9.120,-0.98,-0.09,13.64,9.225,9.010,115449,4634,14:14
ENAGAS,19.265,-0.10,-0.02,7.24,19.355,19.250,135924,5047,14:15
ENDESA,21.830,-0.86,-0.19,-2.33,22.020,21.760,469227,23113,14:14
FERROVIAL,24.260,-1.34,-0.33,8.22,24.640,24.230,202835,18131,14:15
FLUIDRA,32.300,-2.12,-0.70,54.18,32.650,31.800,161064,6319,14:10
GRIFOLS,21.840,-0.32,-0.07,-8.54,22.150,21.830,191834,9307,14:15
IAG,2.307,-4.98,-0.12,28.81,2.439,2.303,18050058,11469,14:15
IBERDROLA,10.670,-0.97,-0.10,-7.54,10.795,10.650,2945090,68482,14:15
INDITEX,31.450,-1.07,-0.34,22.21,31.940,31.420,309625,98019,14:15
INDRA,7.160,-0.90,-0.07,2.58,7.225,7.130,283759,1265,14:15
MAPFRE,1.870,-0.32,-0.01,22.25,1.878,1.867,601863,5760,14:15
MELIÁ HOTELS,6.980,-1.55,-0.11,22.03,7.190,6.964,459185,1538,14:15
MERLIN PROP,9.396,-1.34,-0.13,24.89,9.534,9.270,266690,4414,14:15
NATURGY,21.350,-0.23,-0.05,16.03,21.430,21.310,105576,20701,14:14
PHARMA MAR,73.960,0.93,0.68,4.85,75.900,73.200,64140,1358,14:15
RED ELÉCTRICA,16.515,-0.42,-0.07,0.03,16.570,16.480,266010,8936,14:15
REPSOL,11.258,-0.46,-0.05,36.46,11.388,11.242,949649,17195,14:15
SANTANDER,3.455,-0.58,-0.02,37.31,3.506,3.454,12940711,59912,14:14
SIEMENS GAMESA,25.410,-1.78,-0.46,-23.21,26.280,25.390,238202,17308,14:15
SOLARIA,14.860,-3.07,-0.47,-37.14,15.680,14.855,496889,1857,14:15
TELEFÓNICA,3.815,-0.57,-0.02,23.65,3.875,3.810,7220936,20767,14:15
VISCOFAN,57.500,0.52,0.30,-0.52,57.700,57.100,13749,2674,14:03
