ACCIONA,136.000,-1.23,-1.70,16.54,138.100,135.700,14379,7461,11:12
ACERINOX,11.505,0.04,0.01,33.02,11.575,11.475,134198,3113,11:14
ACS,25.950,0.93,0.24,-2.84,25.960,25.660,89892,8062,11:14
AENA,145.050,-0.41,-0.60,2.00,146.000,144.650,14712,21758,11:14
ALMIRALL,14.270,0.35,0.05,32.51,14.300,14.210,57142,2542,11:07
AMADEUS IT GROUP,63.440,2.49,1.54,6.51,63.600,61.960,89459,28580,11:14
ARCELORMITTAL,27.405,-0.22,-0.06,43.86,27.730,27.155,302712,30223,11:14
BANCO SABADELL,0.648,0.81,0.01,83.05,0.649,0.635,7216041,3646,11:14
BANKINTER,4.702,0.28,0.01,37.67,4.708,4.642,460469,4226,11:13
BBVA,5.266,0.77,0.04,32.27,5.280,5.168,4174432,35113,11:14
CAIXABANK,2.856,0.11,0.00,37.21,2.868,2.836,1131441,23021,11:14
CELLNEX TELECOM,49.460,0.08,0.04,8.71,49.740,49.400,108796,33600,11:14
CIE AUTOMOTIVE,25.640,0.00,0.00,17.53,25.860,25.500,97694,3142,11:13
COLONIAL,9.245,0.98,0.09,15.20,9.255,9.160,43701,4698,11:13
ENAGAS,19.425,0.73,0.14,8.13,19.445,19.260,132305,5089,11:14
ENDESA,21.700,-1.54,-0.34,-2.91,21.940,21.660,672640,22975,11:14
FERROVIAL,24.840,2.64,0.64,10.80,24.840,24.460,208691,18564,11:13
FLUIDRA,33.050,-0.15,-0.05,57.76,33.250,32.800,79315,6466,11:13
GRIFOLS,22.670,0.04,0.01,-5.07,22.760,22.510,124851,9660,11:14
IAG,2.430,1.29,0.03,35.68,2.433,2.386,4487359,12081,11:14
IBERDROLA,10.810,-1.01,-0.11,-6.32,10.880,10.800,2000870,69380,11:14
INDITEX,31.760,-0.03,-0.01,23.42,32.030,31.670,252219,98985,11:14
INDRA,7.195,-0.21,-0.01,3.08,7.260,7.165,213948,1271,11:13
MAPFRE,1.883,-0.13,-0.00,23.10,1.890,1.871,555529,5800,11:14
MELIÁ HOTELS,7.058,-0.31,-0.02,23.39,7.122,7.020,177677,1556,11:13
MERLIN PROP,9.582,0.13,0.01,27.36,9.626,9.540,146285,4501,11:14
NATURGY,21.420,0.37,0.08,16.41,21.450,21.310,99018,20769,11:13
PHARMA MAR,73.200,-1.74,-1.30,3.77,74.800,72.680,60574,1344,11:14
RED ELÉCTRICA,16.555,0.82,0.14,0.28,16.570,16.425,120482,8958,11:13
REPSOL,11.346,0.94,0.11,37.53,11.410,11.236,947383,17330,11:14
SANTANDER,3.491,0.39,0.01,38.76,3.493,3.443,6220170,60545,11:14
SIEMENS GAMESA,26.630,-1.37,-0.37,-19.52,27.300,26.540,87534,18139,11:14
SOLARIA,15.685,-2.37,-0.38,-33.65,16.140,15.650,214174,1960,11:14
TELEFÓNICA,3.862,-0.09,-0.00,25.18,3.891,3.848,3506376,21023,11:14
VISCOFAN,57.000,-0.96,-0.55,-1.38,57.350,56.600,19158,2650,11:10
