ACCIONA,134.400,135.700,134.300,11:14
ACERINOX,11.500,11.535,11.470,11:12
ACS,25.600,25.720,25.460,11:14
AENA,142.800,144.850,141.900,11:15
ALMIRALL,14.150,14.190,14.050,11:14
AMADEUS IT GROUP,62.960,63.520,62.800,11:12
ARCELORMITTAL,27.280,27.530,27.155,11:14
BANCO SABADELL,0.646,0.649,0.641,11:13
BANKINTER,4.679,4.681,4.650,11:13
BBVA,5.265,5.268,5.222,11:14
CAIXABANK,2.868,2.869,2.853,11:13
CELLNEX TELECOM,49.670,49.890,49.460,11:14
CIE AUTOMOTIVE,25.480,25.500,25.320,11:02
COLONIAL,9.085,9.225,9.085,11:14
ENAGAS,19.320,19.355,19.270,11:15
ENDESA,21.860,22.020,21.760,11:14
FERROVIAL,24.550,24.640,24.470,11:13
FLUIDRA,32.250,32.650,31.800,11:12
GRIFOLS,21.930,22.150,21.910,11:14
IAG,2.375,2.439,2.363,11:14
IBERDROLA,10.730,10.795,10.720,11:15
INDITEX,31.760,31.940,31.680,11:13
INDRA,7.190,7.225,7.175,11:09
MAPFRE,1.872,1.878,1.867,11:15
MELIÁ HOTELS,7.094,7.190,7.058,11:07
MERLIN PROP,9.306,9.534,9.302,11:15
NATURGY,21.400,21.430,21.310,11:14
PHARMA MAR,75.060,75.900,73.200,11:15
RED ELÉCTRICA,16.525,16.570,16.485,11:13
REPSOL,11.336,11.388,11.260,11:15
SANTANDER,3.490,3.492,3.464,11:15
SIEMENS GAMESA,25.700,26.280,25.680,11:15
SOLARIA,15.285,15.680,15.265,11:15
TELEFÓNICA,3.845,3.875,3.838,11:15
VISCOFAN,57.600,57.600,57.100,11:11
