ACCIONA,136.900,137.800,136.000,14:15
ACERINOX,11.720,11.850,11.625,14:11
ACS,25.650,25.870,25.400,14:17
AENA,140.800,143.650,140.350,14:16
ALMIRALL,13.960,14.070,13.760,14:12
AMADEUS IT GROUP,58.320,59.100,57.900,14:15
ARCELORMITTAL,25.390,25.740,24.990,14:15
BANCO SABADELL,0.630,0.646,0.621,14:16
BANKINTER,4.705,4.748,4.671,14:17
BBVA,4.982,5.039,4.929,14:16
CAIXABANK,2.780,2.813,2.743,14:16
CELLNEX TELECOM,47.090,47.680,46.540,14:15
CIE AUTOMOTIVE,24.200,24.460,24.000,14:05
COLONIAL,8.595,8.810,8.520,14:15
ENAGAS,19.110,19.160,19.015,14:16
ENDESA,23.110,23.160,22.910,14:16
FERROVIAL,23.830,24.100,23.700,14:14
FLUIDRA,32.350,32.500,31.550,14:14
GRIFOLS,23.230,23.440,23.140,14:12
IAG,2.232,2.288,2.211,14:16
IBERDROLA,11.330,11.345,11.245,14:15
INDITEX,31.700,32.150,31.670,14:16
INDRA,8.050,8.100,8.015,14:17
MAPFRE,1.839,1.866,1.821,14:17
MELIÁ HOTELS,6.686,6.780,6.606,14:14
MERLIN PROP,8.902,9.094,8.820,14:15
NATURGY,21.500,21.540,21.430,14:15
PHARMA MAR,82.800,84.100,82.400,14:14
RED ELÉCTRICA,16.215,16.310,16.160,14:16
REPSOL,10.790,10.958,10.682,14:16
SANTANDER,3.299,3.336,3.253,14:16
SIEMENS GAMESA,26.530,27.050,26.180,14:15
SOLARIA,16.065,16.190,15.775,14:14
TELEFÓNICA,4.123,4.199,4.097,14:16
VISCOFAN,58.350,58.500,58.000,13:59
